State,Year,Most Cultivated Crop,MC Area,MC Production,MC Yield
Andhra Pradesh,2001,Rice,3824747.0,11389791.0,124.37
Andhra Pradesh,2002,Rice,2822067.0,7326786.0,104.2
Andhra Pradesh,2003,Rice,2974638.0,8952802.0,118.8
Andhra Pradesh,2004,Rice,3086202.0,9601045.0,122.11
Andhra Pradesh,2005,Rice,3981751.0,11703624.0,124.99
Andhra Pradesh,2006,Rice,3977890.0,11872130.0,125.97
Andhra Pradesh,2007,Rice,3984000.0,13324000.0,137.58
Andhra Pradesh,2008,Rice,4387216.0,14241133.0,135.31
Andhra Pradesh,2009,Rice,3440736.0,10838267.0,129.57
Andhra Pradesh,2010,Rice,4751309.0,14419313.0,131.84
Andhra Pradesh,2011,Rice,4095848.0,12891792.0,130.7
Andhra Pradesh,2012,Rice,3628000.0,11511000.0,136.69
Assam,2001,Rice,2536421.0,3854248.0,104.13
Assam,2002,Rice,2540680.0,3737802.0,101.58
Assam,2003,Rice,2529826.0,3880934.0,97.32
Assam,2004,Rice,2383731.0,3470750.0,94.71
Assam,2005,Rice,2420327.0,3552438.0,113.72
Assam,2006,Rice,2196559.0,2916014.0,111.63
Assam,2007,Rice,2323996.0,3318608.0,122.53
Assam,2008,Rice,2484126.0,4008435.0,124.31
Assam,2009,Rice,2497596.0,4408424.0,128.39
Assam,2010,Rice,2537455.0,5032529.0,150.49
Assam,2011,Rice,2545706.0,4715678.0,147.5
Assam,2012,Rice,2484728.0,5120052.0,157.34
Gujarat,2001,Cotton(lint),1749800.0,1703200.0,19.27
Gujarat,2002,Cotton(lint),1634800.0,1684500.0,22.94
Gujarat,2003,Cotton(lint),1641000.0,4026900.0,62.0
Gujarat,2004,Cotton(lint),1906300.0,5443500.0,70.6
Gujarat,2005,Cotton(lint),2010800.0,6871600.0,77.26
Gujarat,2006,Cotton(lint),2372100.0,7876400.0,68.22
Gujarat,2007,Cotton(lint),2422000.0,8275700.0,73.61
Gujarat,2008,Cotton(lint),2353600.0,7013800.0,71.77
Gujarat,2009,Cotton(lint),2464400.0,7401000.0,71.18
Gujarat,2010,Cotton(lint),2623200.0,9825300.0,76.2
Gujarat,2011,Cotton(lint),3003100.0,10374600.0,75.59
Gujarat,2012,Cotton(lint),2457200.0,4950900.0,54.95
Haryana,2001,Wheat,2299876.0,9437000.0,75.61
Haryana,2002,Wheat,2267140.0,9188000.0,75.01
Haryana,2003,Wheat,2315496.0,9114000.0,72.69
Haryana,2004,Wheat,2316674.0,9043000.0,71.72
Haryana,2005,Wheat,2302682.0,8502000.0,72.13
Haryana,2006,Wheat,2377067.0,10059000.0,81.24
Haryana,2007,Wheat,2460680.0,10232000.0,80.72
Haryana,2008,Wheat,2461420.0,11360000.0,93.18
Haryana,2009,Wheat,2487756.0,10488000.0,86.81
Haryana,2010,Wheat,2503963.0,11578000.0,94.15
Haryana,2011,Wheat,2531302.0,13119000.0,105.67
Haryana,2012,Wheat,2496905.0,11117000.0,92.59
Karnataka,2001,Rice,1417724.0,3234045.0,144.87
Karnataka,2002,Rice,1154783.0,2390085.0,144.41
Karnataka,2003,Rice,1073899.0,2550399.0,197.9
Karnataka,2004,Rice,1308179.0,3707122.0,216.85999999999999
Karnataka,2005,Rice,1485181.0,3999246.0,179.4
Karnataka,2006,Rice,1395676.0,3645526.0,164.97
Karnataka,2007,Rice,1416316.0,3868515.0,182.31
Karnataka,2008,Rice,1513987.0,4031539.0,175.52
Karnataka,2009,Rice,1486478.0,3877407.0,171.52
Karnataka,2010,Rice,1539066.0,4473972.0,193.84
Karnataka,2011,Rice,1416135.0,4181619.0,189.32
Karnataka,2012,Rice,1278915.0,3364379.0,177.87
Kerala,2001,Rice,322368.0,703504.0,84.8
Kerala,2002,Rice,310521.0,688859.0,88.4
Kerala,2003,Rice,287340.0,570045.0,81.11
Kerala,2004,Rice,289974.0,667105.0,89.33
Kerala,2005,Rice,275742.0,629987.0,90.75
Kerala,2006,Rice,263529.0,641575.0,96.5
Kerala,2007,Rice,228938.0,528488.0,91.15
Kerala,2008,Rice,234265.0,590241.0,95.74
Kerala,2009,Rice,234013.0,598339.0,95.34
Kerala,2010,Rice,213186.5,522738.0,94.63
Kerala,2011,Rice,208159.74,568993.0,101.69
Kerala,2012,Rice,197277.0,508299.0,99.05
Madhya Pradesh,2001,Wheat,3691707.0,5993596.0,74.47
Madhya Pradesh,2002,Wheat,3369481.0,4916044.0,67.53
Madhya Pradesh,2003,Wheat,4078974.0,7357255.0,86.3
Madhya Pradesh,2004,Wheat,4188248.0,7320042.0,81.96
Madhya Pradesh,2005,Wheat,3772615.0,6192368.0,79.06
Madhya Pradesh,2006,Wheat,4262382.0,7840446.0,83.1
Madhya Pradesh,2007,Wheat,4089343.0,6729363.0,74.35
Madhya Pradesh,2008,Wheat,3997666.0,7272210.0,88.2
Madhya Pradesh,2009,Wheat,4458995.0,8865378.0,92.69
Madhya Pradesh,2010,Wheat,4633125.0,9219781.0,93.72
Madhya Pradesh,2011,Wheat,5248479.0,14537038.0,129.54
Madhya Pradesh,2012,Wheat,5601025.0,16510524.0,142.83
Maharashtra,2001,Sugarcane,578200.0,45139800.0,1878.5900000000001
Maharashtra,2002,Sugarcane,573100.0,42617000.0,1761.66
Maharashtra,2003,Sugarcane,442500.0,25668400.0,1529.77
Maharashtra,2004,Sugarcane,326900.0,23913700.0,1741.77
Maharashtra,2005,Sugarcane,500700.0,38813700.0,1723.78
Maharashtra,2006,Sugarcane,848800.0,66277400.0,1908.21
Maharashtra,2007,Sugarcane,1092800.0,88437200.0,2004.45
Maharashtra,2008,Sugarcane,768400.0,60648300.0,1769.42
Maharashtra,2009,Sugarcane,755900.0,64159300.0,2059.89
Maharashtra,2010,Sugarcane,964500.0,85691500.0,1919.83
Maharashtra,2011,Sugarcane,1022000.0,89456100.0,2066.6
Maharashtra,2012,Sugarcane,938100.0,75335000.0,1836.12
Rajasthan,2001,Wheat,2287498.0,6389030.0,84.93
Rajasthan,2002,Wheat,1800659.0,4878020.0,78.76
Rajasthan,2003,Wheat,2103059.0,5875862.0,83.8
Rajasthan,2004,Wheat,2010241.0,5706871.0,84.87
Rajasthan,2005,Wheat,2123910.0,5865293.0,80.57
Rajasthan,2006,Wheat,2564840.0,7755883.0,88.28999999999999
Rajasthan,2007,Wheat,2592188.0,7126040.0,79.4
Rajasthan,2008,Wheat,2294858.0,7287074.0,88.67999999999999
Rajasthan,2009,Wheat,2394213.0,7500851.0,93.06
Rajasthan,2010,Wheat,3036141.0,10424350.0,102.71000000000001
Rajasthan,2011,Wheat,2935341.0,10160897.0,101.83
Rajasthan,2012,Wheat,3063202.0,10766607.0,103.77
Tamil Nadu,2001,Rice,2059878.0,6583630.0,98.92
Tamil Nadu,2002,Rice,1516537.0,3577108.0,80.77
Tamil Nadu,2003,Rice,1396651.0,3222776.0,76.39
Tamil Nadu,2004,Rice,1872822.0,5061622.0,87.44
Tamil Nadu,2005,Rice,2050455.0,5209433.0,83.97
Tamil Nadu,2006,Rice,1931397.0,6610607.0,103.96000000000001
Tamil Nadu,2007,Rice,1789170.0,5039954.0,93.2
Tamil Nadu,2008,Rice,1931603.0,5183385.0,110.44
Tamil Nadu,2009,Rice,1845553.0,5665258.0,109.73
Tamil Nadu,2010,Rice,1905726.0,5792415.0,111.52
Tamil Nadu,2011,Rice,1903772.0,7458657.0,131.02
Tamil Nadu,2012,Rice,1493276.0,4050334.0,102.09
Uttar Pradesh,2001,Sugarcane,2034883.0,117981573.0,3624.3
Uttar Pradesh,2002,Sugarcane,2148981.0,120948041.0,3533.89
Uttar Pradesh,2003,Sugarcane,2110126.0,117566725.0,3424.55
Uttar Pradesh,2004,Sugarcane,2002320.0,121755620.0,3720.17
Uttar Pradesh,2005,Sugarcane,2155791.0,125469871.0,3415.25
Uttar Pradesh,2006,Sugarcane,2246520.0,133949379.0,3633.32
Uttar Pradesh,2007,Sugarcane,2178987.0,124665288.0,3482.45
Uttar Pradesh,2008,Sugarcane,2084179.0,109047670.0,3331.48
Uttar Pradesh,2009,Sugarcane,1977324.0,117139919.0,3574.59
Uttar Pradesh,2010,Sugarcane,2124850.0,120544784.0,3711.88
Uttar Pradesh,2011,Sugarcane,2162404.0,128818743.0,3969.99
Uttar Pradesh,2012,Sugarcane,2211712.0,137904315.0,4273.63
West Bengal,2001,Rice,5503087.0,13815548.0,121.02
West Bengal,2002,Rice,5842127.0,14389238.0,127.12
West Bengal,2003,Rice,5856607.0,14662239.0,131.3
West Bengal,2004,Rice,5783613.0,14884889.0,130.16
West Bengal,2005,Rice,5782949.0,14510742.0,129.61
West Bengal,2006,Rice,5687028.0,14745892.0,131.79
West Bengal,2007,Rice,5719755.0,14719520.0,130.8
West Bengal,2008,Rice,5935696.0,15037240.0,127.45
West Bengal,2009,Rice,5630095.0,14340605.0,130.16
West Bengal,2010,Rice,4944146.0,13389610.0,138.47
West Bengal,2011,Rice,5433700.0,14605766.0,136.49
West Bengal,2012,Rice,5444318.0,14946735.0,143.92
