Year,State,Annual Rainfall
2001,Assam,2178.4
2002,Assam,2392.7
2003,Assam,2434.1
2004,Assam,2994.3
2005,Assam,2468.3
2006,Assam,1898.6
2007,Assam,2752.8
2008,Assam,2339.7
2009,Assam,2068.2
2010,Assam,2711.5
2011,Assam,1743.4
2012,Assam,2609.4
2001,Haryana,485.5
2002,Haryana,357.2
2003,Haryana,597.6
2004,Haryana,487.3
2005,Haryana,519.5
2006,Haryana,330.9
2007,Haryana,446.6
2008,Haryana,710.4
2009,Haryana,395.4
2010,Haryana,640.5
2011,Haryana,512.0
2012,Haryana,391.4
2001,Gujarat,849.0
2002,Gujarat,637.2
2003,Gujarat,1160.3
2004,Gujarat,1005.8
2005,Gujarat,1316.4
2006,Gujarat,1478.0
2007,Gujarat,1178.9
2008,Gujarat,911.1
2009,Gujarat,641.6
2010,Gujarat,1088.7
2011,Gujarat,890.5
2012,Gujarat,714.0
2001,Maharashtra,785.1
2002,Maharashtra,740.3
2003,Maharashtra,772.6
2004,Maharashtra,1029.5
2005,Maharashtra,1221.3
2006,Maharashtra,1395.7
2007,Maharashtra,1040.4
2008,Maharashtra,916.9
2009,Maharashtra,941.7
2010,Maharashtra,1027.5
2011,Maharashtra,852.6
2012,Maharashtra,689.8
2001,Tamil Nadu,483.4
2002,Tamil Nadu,318.0
2003,Tamil Nadu,348.5
2004,Tamil Nadu,1037.6
2005,Tamil Nadu,1365.3
2006,Tamil Nadu,927.9
2007,Tamil Nadu,1067.2
2008,Tamil Nadu,1203.4
2009,Tamil Nadu,928.5
2010,Tamil Nadu,1095.2
2011,Tamil Nadu,926.5
2012,Tamil Nadu,636.1
2001,Kerala,2931.1
2002,Kerala,2507.4
2003,Kerala,2394.9
2004,Kerala,2886.1
2005,Kerala,3031.1
2006,Kerala,3420.6
2007,Kerala,3489.6
2008,Kerala,2524.5
2009,Kerala,2810.6
2010,Kerala,3131.8
2011,Kerala,3035.1
2012,Kerala,2151.1
2001,Andhra Pradesh,2856.1
2002,Andhra Pradesh,2083.7
2003,Andhra Pradesh,2785.5
2004,Andhra Pradesh,2282.3
2005,Andhra Pradesh,3451.1
2006,Andhra Pradesh,2850.7
2007,Andhra Pradesh,2923.1
2008,Andhra Pradesh,2940.8
2009,Andhra Pradesh,2145.0
2010,Andhra Pradesh,3952.3
2011,Andhra Pradesh,2353.0
2012,Andhra Pradesh,3042.0
2001,West Bengal,4153.2
2002,West Bengal,4160.3
2003,West Bengal,4220.0
2004,West Bengal,4284.1
2005,West Bengal,4412.6
2006,West Bengal,3922.6
2007,West Bengal,4580.3
2008,West Bengal,4245.1
2009,West Bengal,3639.6
2010,West Bengal,3677.1000000000004
2011,West Bengal,4105.2
2012,West Bengal,3900.2
2001,Uttar Pradesh,1635.5
2002,Uttar Pradesh,1314.3000000000002
2003,Uttar Pradesh,2143.9
2004,Uttar Pradesh,1389.1999999999998
2005,Uttar Pradesh,1496.0
2006,Uttar Pradesh,1161.4
2007,Uttar Pradesh,1313.7
2008,Uttar Pradesh,1753.1999999999998
2009,Uttar Pradesh,1159.4
2010,Uttar Pradesh,1512.9
2011,Uttar Pradesh,1558.6
2012,Uttar Pradesh,992.3000000000001
2001,Rajasthan,836.5
2002,Rajasthan,377.70000000000005
2003,Rajasthan,994.7
2004,Rajasthan,802.9000000000001
2005,Rajasthan,828.7
2006,Rajasthan,1109.7
2007,Rajasthan,886.5
2008,Rajasthan,968.7
2009,Rajasthan,574.5
2010,Rajasthan,1162.6
2011,Rajasthan,1220.8
2012,Rajasthan,1020.9000000000001
2001,Madhya Pradesh,1957.1
2002,Madhya Pradesh,1634.3000000000002
2003,Madhya Pradesh,2384.5
2004,Madhya Pradesh,1803.4
2005,Madhya Pradesh,2118.6000000000004
2006,Madhya Pradesh,2112.6
2007,Madhya Pradesh,1460.3
2008,Madhya Pradesh,1794.3000000000002
2009,Madhya Pradesh,1820.9
2010,Madhya Pradesh,1736.6999999999998
2011,Madhya Pradesh,2339.1000000000004
2012,Madhya Pradesh,2088.3
2001,Karnataka,4635.9
2002,Karnataka,4079.3999999999996
2003,Karnataka,4308.2
2004,Karnataka,4845.3
2005,Karnataka,5597.7
2006,Karnataka,5518.4
2007,Karnataka,5928.1
2008,Karnataka,5059.4
2009,Karnataka,5933.9
2010,Karnataka,5779.700000000001
2011,Karnataka,5651.2
2012,Karnataka,1461.6
