State,Year,LitRate
Andhra Pradesh,2001,60.47
Andhra Pradesh,2002,61.189
Andhra Pradesh,2003,61.908
Andhra Pradesh,2004,62.627
Andhra Pradesh,2005,63.346000000000004
Andhra Pradesh,2006,64.065
Andhra Pradesh,2007,64.78399999999999
Andhra Pradesh,2008,65.50299999999999
Andhra Pradesh,2009,66.22199999999998
Andhra Pradesh,2010,66.94099999999997
Andhra Pradesh,2011,67.65999999999997
Andhra Pradesh,2012,68.37899999999996
Assam,2001,63.25
Assam,2002,64.243
Assam,2003,65.23599999999999
Assam,2004,66.22899999999998
Assam,2005,67.22199999999998
Assam,2006,68.21499999999997
Assam,2007,69.20799999999997
Assam,2008,70.20099999999996
Assam,2009,71.19399999999996
Assam,2010,72.18699999999995
Assam,2011,73.17999999999995
Assam,2012,74.17299999999994
Gujarat,2001,69.14
Gujarat,2002,70.157
Gujarat,2003,71.17399999999999
Gujarat,2004,72.19099999999999
Gujarat,2005,73.20799999999998
Gujarat,2006,74.22499999999998
Gujarat,2007,75.24199999999998
Gujarat,2008,76.25899999999997
Gujarat,2009,77.27599999999997
Gujarat,2010,78.29299999999996
Gujarat,2011,79.30999999999996
Gujarat,2012,80.32699999999996
Haryana,2001,67.91
Haryana,2002,68.783
Haryana,2003,69.656
Haryana,2004,70.52900000000001
Haryana,2005,71.40200000000002
Haryana,2006,72.27500000000002
Haryana,2007,73.14800000000002
Haryana,2008,74.02100000000003
Haryana,2009,74.89400000000003
Haryana,2010,75.76700000000004
Haryana,2011,76.64000000000004
Haryana,2012,77.51300000000005
Karnataka,2001,66.64
Karnataka,2002,67.536
Karnataka,2003,68.432
Karnataka,2004,69.328
Karnataka,2005,70.224
Karnataka,2006,71.12
Karnataka,2007,72.016
Karnataka,2008,72.912
Karnataka,2009,73.808
Karnataka,2010,74.70400000000001
Karnataka,2011,75.60000000000001
Karnataka,2012,76.49600000000001
Kerala,2001,90.86
Kerala,2002,91.16499999999999
Kerala,2003,91.47
Kerala,2004,91.775
Kerala,2005,92.08000000000001
Kerala,2006,92.38500000000002
Kerala,2007,92.69000000000003
Kerala,2008,92.99500000000003
Kerala,2009,93.30000000000004
Kerala,2010,93.60500000000005
Kerala,2011,93.91000000000005
Kerala,2012,94.21500000000006
Madhya Pradesh,2001,63.74
Madhya Pradesh,2002,64.429
Madhya Pradesh,2003,65.118
Madhya Pradesh,2004,65.80699999999999
Madhya Pradesh,2005,66.49599999999998
Madhya Pradesh,2006,67.18499999999997
Madhya Pradesh,2007,67.87399999999997
Madhya Pradesh,2008,68.56299999999996
Madhya Pradesh,2009,69.25199999999995
Madhya Pradesh,2010,69.94099999999995
Madhya Pradesh,2011,70.62999999999994
Madhya Pradesh,2012,71.31899999999993
Maharashtra,2001,76.88
Maharashtra,2002,77.48299999999999
Maharashtra,2003,78.08599999999998
Maharashtra,2004,78.68899999999998
Maharashtra,2005,79.29199999999997
Maharashtra,2006,79.89499999999997
Maharashtra,2007,80.49799999999996
Maharashtra,2008,81.10099999999996
Maharashtra,2009,81.70399999999995
Maharashtra,2010,82.30699999999995
Maharashtra,2011,82.90999999999994
Maharashtra,2012,83.51299999999993
Rajasthan,2001,60.41
Rajasthan,2002,61.074999999999996
Rajasthan,2003,61.739999999999995
Rajasthan,2004,62.404999999999994
Rajasthan,2005,63.06999999999999
Rajasthan,2006,63.73499999999999
Rajasthan,2007,64.39999999999999
Rajasthan,2008,65.065
Rajasthan,2009,65.73
Rajasthan,2010,66.39500000000001
Rajasthan,2011,67.06000000000002
Rajasthan,2012,67.72500000000002
Tamil Nadu,2001,73.45
Tamil Nadu,2002,74.138
Tamil Nadu,2003,74.82600000000001
Tamil Nadu,2004,75.51400000000001
Tamil Nadu,2005,76.20200000000001
Tamil Nadu,2006,76.89000000000001
Tamil Nadu,2007,77.57800000000002
Tamil Nadu,2008,78.26600000000002
Tamil Nadu,2009,78.95400000000002
Tamil Nadu,2010,79.64200000000002
Tamil Nadu,2011,80.33000000000003
Tamil Nadu,2012,81.01800000000003
Uttar Pradesh,2001,56.27
Uttar Pradesh,2002,57.615
Uttar Pradesh,2003,58.96
Uttar Pradesh,2004,60.305
Uttar Pradesh,2005,61.65
Uttar Pradesh,2006,62.995
Uttar Pradesh,2007,64.34
Uttar Pradesh,2008,65.685
Uttar Pradesh,2009,67.03
Uttar Pradesh,2010,68.375
Uttar Pradesh,2011,69.72
Uttar Pradesh,2012,71.065
West Bengal,2001,68.64
West Bengal,2002,69.484
West Bengal,2003,70.32799999999999
West Bengal,2004,71.17199999999998
West Bengal,2005,72.01599999999998
West Bengal,2006,72.85999999999997
West Bengal,2007,73.70399999999997
West Bengal,2008,74.54799999999996
West Bengal,2009,75.39199999999995
West Bengal,2010,76.23599999999995
West Bengal,2011,77.07999999999994
West Bengal,2012,77.92399999999994
