State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita,LitRate,Annual Rainfall,Annual Temperature Anomaly,5 Year Temperature Anomaly,10 Year Temperature Anomaly,Total Area,Total Production,Total Yield,Most Cultivated Crop,MC Area,MC Production,MC Yield,Net State Domestic Product,Per Capita Income,Decadal Growth ,Rural Population ,Value Added by Agriculture
Andhra Pradesh,2001,By Consuming Insecticides,Female,0-14,60,76210.0,0.0007872982548222,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Male,0-14,53,76210.0,0.0006954467917596,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Female,15-29,595,76210.0,0.0078073743603201,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Male,15-29,649,76210.0,0.0085159427896601,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Female,30-44,456,76210.0,0.0059834667366487,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Male,30-44,701,76210.0,0.0091982679438393,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Female,45-59,222,76210.0,0.0029130035428421,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Male,45-59,657,76210.0,0.0086209158903031,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Female,60+,29,76210.0,0.0003805274898307,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Male,60+,149,76210.0,0.0019551239994751,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2002,By Consuming Insecticides,Female,0-14,49,77047.1,0.0006359746181232,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Male,0-14,30,77047.1,0.0003893722151774,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Female,15-29,584,77047.1,0.0075797791221214,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Male,15-29,759,77047.1,0.0098511170439899,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Female,30-44,466,77047.1,0.00604824840909,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Male,30-44,900,77047.1,0.011681166455324,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Female,45-59,163,77047.1,0.0021155890357975,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Male,45-59,694,77047.1,0.0090074772444387,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
Andhra Pradesh,2002,By Consuming Insecticides,Female,60+,59,77047.1,0.0007657653565156,61.189,2083.7,0.401,0.2658333333333333,0.2564166666666667,10496816.0,1190040312.0,169451.49,Rice,2822067.0,7326786.0,104.2,131749.57,17213.0,14.241,55497.1,35043.46
