State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita
Andhra Pradesh,2001,By coming under running vehicles/trains,Male,0-14,6,76210.0,7.872982548222017e-05
Andhra Pradesh,2001,By Consuming Insecticides,Male,0-14,53,76210.0,0.0006954467917596116
Andhra Pradesh,2001,By Fire/Self Immolation,Male,0-14,16,76210.0,0.0002099462012859205
Andhra Pradesh,2001,By Hanging,Male,0-14,19,76210.0,0.00024931111402703055
Andhra Pradesh,2001,By Consuming Other Poison,Male,0-14,19,76210.0,0.00024931111402703055
Andhra Pradesh,2001,By Other means (please specify),Male,0-14,15,76210.0,0.00019682456370555046
Andhra Pradesh,2001,By Jumping off Moving Vehicles/Trains,Male,0-14,1,76210.0,1.312163758037003e-05
Andhra Pradesh,2001,By Drowning,Male,0-14,38,76210.0,0.0004986222280540611
Andhra Pradesh,2001,By Jumping from (Other sites),Male,0-14,6,76210.0,7.872982548222017e-05
Andhra Pradesh,2001,By Consuming Insecticides,Male,15-29,649,76210.0,0.00851594278966015
Andhra Pradesh,2001,By Over Alcoholism,Male,15-29,18,76210.0,0.00023618947644666054
Andhra Pradesh,2001,By Hanging,Male,15-29,410,76210.0,0.005379871407951712
Andhra Pradesh,2001,By Machine,Male,15-29,2,76210.0,2.624327516074006e-05
Andhra Pradesh,2001,By Fire-Arms,Male,15-29,8,76210.0,0.00010497310064296025
Andhra Pradesh,2001,By Other means (please specify),Male,15-29,224,76210.0,0.0029392468180028867
Andhra Pradesh,2001,By coming under running vehicles/trains,Male,15-29,131,76210.0,0.001718934523028474
Andhra Pradesh,2001,By Fire/Self Immolation,Male,15-29,102,76210.0,0.0013384070331977432
Andhra Pradesh,2001,By Self Infliction of injury,Male,15-29,22,76210.0,0.0002886760267681407
Andhra Pradesh,2001,By Consuming Other Poison,Male,15-29,352,76210.0,0.004618816428290251
Andhra Pradesh,2001,By Jumping from (Other sites),Male,15-29,7,76210.0,9.185146306259021e-05
Andhra Pradesh,2001,By touching electric wires,Male,15-29,10,76210.0,0.0001312163758037003
Andhra Pradesh,2001,By Overdose of sleeping pills,Male,15-29,9,76210.0,0.00011809473822333027
Andhra Pradesh,2001,By Drowning,Male,15-29,114,76210.0,0.0014958666841621835
Andhra Pradesh,2001,By Jumping from (Other sites),Male,30-44,5,76210.0,6.560818790185015e-05
Andhra Pradesh,2001,By Drowning,Male,30-44,139,76210.0,0.0018239076236714342
Andhra Pradesh,2001,By Over Alcoholism,Male,30-44,19,76210.0,0.00024931111402703055
Andhra Pradesh,2001,By Consuming Insecticides,Male,30-44,701,76210.0,0.009198267943839392
Andhra Pradesh,2001,By touching electric wires,Male,30-44,19,76210.0,0.00024931111402703055
Andhra Pradesh,2001,By Jumping from (Building),Male,30-44,3,76210.0,3.936491274111009e-05
Andhra Pradesh,2001,By Other means (please specify),Male,30-44,93,76210.0,0.0012203122949744128
Andhra Pradesh,2001,By Fire-Arms,Male,30-44,5,76210.0,6.560818790185015e-05
Andhra Pradesh,2001,By coming under running vehicles/trains,Male,30-44,161,76210.0,0.002112583650439575
Andhra Pradesh,2001,By Jumping off Moving Vehicles/Trains,Male,30-44,39,76210.0,0.0005117438656344312
Andhra Pradesh,2001,By Fire/Self Immolation,Male,30-44,172,76210.0,0.002256921663823645
Andhra Pradesh,2001,By Overdose of sleeping pills,Male,30-44,8,76210.0,0.00010497310064296025
Andhra Pradesh,2001,By Self Infliction of injury,Male,30-44,17,76210.0,0.0002230678388662905
Andhra Pradesh,2001,By Consuming Other Poison,Male,30-44,351,76210.0,0.004605694790709881
Andhra Pradesh,2001,By Hanging,Male,30-44,481,76210.0,0.006311507676157985
Andhra Pradesh,2001,By Jumping from (Building),Male,45-59,1,76210.0,1.312163758037003e-05
Andhra Pradesh,2001,By Consuming Insecticides,Male,45-59,657,76210.0,0.00862091589030311
Andhra Pradesh,2001,By Jumping off Moving Vehicles/Trains,Male,45-59,14,76210.0,0.00018370292612518042
Andhra Pradesh,2001,By Self Infliction of injury,Male,45-59,7,76210.0,9.185146306259021e-05
Andhra Pradesh,2001,By Hanging,Male,45-59,289,76210.0,0.0037921532607269387
Andhra Pradesh,2001,By Overdose of sleeping pills,Male,45-59,4,76210.0,5.248655032148012e-05
Andhra Pradesh,2001,By coming under running vehicles/trains,Male,45-59,98,76210.0,0.001285920482876263
Andhra Pradesh,2001,By Over Alcoholism,Male,45-59,19,76210.0,0.00024931111402703055
Andhra Pradesh,2001,By Drowning,Male,45-59,66,76210.0,0.000866028080304422
Andhra Pradesh,2001,By Fire/Self Immolation,Male,45-59,125,76210.0,0.0016402046975462538
Andhra Pradesh,2001,By Fire-Arms,Male,45-59,2,76210.0,2.624327516074006e-05
Andhra Pradesh,2001,By touching electric wires,Male,45-59,2,76210.0,2.624327516074006e-05
Andhra Pradesh,2001,By Consuming Other Poison,Male,45-59,240,76210.0,0.0031491930192888073
Andhra Pradesh,2001,By Other means (please specify),Male,45-59,42,76210.0,0.0005511087783755412
Andhra Pradesh,2001,By Drowning,Male,60+,28,76210.0,0.00036740585225036084
Andhra Pradesh,2001,By Jumping from (Building),Male,60+,1,76210.0,1.312163758037003e-05
Andhra Pradesh,2001,By Jumping off Moving Vehicles/Trains,Male,60+,14,76210.0,0.00018370292612518042
Andhra Pradesh,2001,By Other means (please specify),Male,60+,10,76210.0,0.0001312163758037003
Andhra Pradesh,2001,By Consuming Insecticides,Male,60+,149,76210.0,0.0019551239994751346
Andhra Pradesh,2001,By coming under running vehicles/trains,Male,60+,37,76210.0,0.00048550059047369114
Andhra Pradesh,2001,By Over Alcoholism,Male,60+,2,76210.0,2.624327516074006e-05
Andhra Pradesh,2001,By Machine,Male,60+,1,76210.0,1.312163758037003e-05
Andhra Pradesh,2001,By Hanging,Male,60+,65,76210.0,0.0008529064427240519
Andhra Pradesh,2001,By Fire/Self Immolation,Male,60+,24,76210.0,0.0003149193019288807
Andhra Pradesh,2001,By Consuming Other Poison,Male,60+,32,76210.0,0.000419892402571841
Andhra Pradesh,2001,By Self Infliction of injury,Male,60+,3,76210.0,3.936491274111009e-05
Andhra Pradesh,2001,By touching electric wires,Male,60+,3,76210.0,3.936491274111009e-05
Andhra Pradesh,2002,By Hanging,Male,0-14,14,77047.1,0.00018170703374948568
Andhra Pradesh,2002,By Drowning,Male,0-14,22,77047.1,0.00028553962446347753
Andhra Pradesh,2002,By Fire/Self Immolation,Male,0-14,6,77047.1,7.787444303549386e-05
Andhra Pradesh,2002,By touching electric wires,Male,0-14,1,77047.1,1.2979073839248977e-05
Andhra Pradesh,2002,By coming under running vehicles/trains,Male,0-14,3,77047.1,3.893722151774693e-05
Andhra Pradesh,2002,By Jumping from (Building),Male,0-14,3,77047.1,3.893722151774693e-05
Andhra Pradesh,2002,By Jumping off Moving Vehicles/Trains,Male,0-14,1,77047.1,1.2979073839248977e-05
Andhra Pradesh,2002,By Consuming Insecticides,Male,0-14,30,77047.1,0.00038937221517746935
Andhra Pradesh,2002,By Consuming Other Poison,Male,0-14,9,77047.1,0.0001168116645532408
Andhra Pradesh,2002,By Overdose of sleeping pills,Male,0-14,1,77047.1,1.2979073839248977e-05
Andhra Pradesh,2002,By Other means,Male,0-14,10,77047.1,0.00012979073839248977
Andhra Pradesh,2002,By Fire-Arms,Male,0-14,1,77047.1,1.2979073839248977e-05
Andhra Pradesh,2002,By Jumping from (Building),Male,15-29,1,77047.1,1.2979073839248977e-05
