State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita
Andhra Pradesh,2001,By Consuming Insecticides,Male,0-14,53,76210.0,0.0006954467917596116
Andhra Pradesh,2001,By Consuming Insecticides,Male,15-29,649,76210.0,0.00851594278966015
Andhra Pradesh,2001,By Consuming Insecticides,Male,30-44,701,76210.0,0.009198267943839392
Andhra Pradesh,2001,By Consuming Insecticides,Male,45-59,657,76210.0,0.00862091589030311
Andhra Pradesh,2001,By Consuming Insecticides,Male,60+,149,76210.0,0.0019551239994751346
Andhra Pradesh,2002,By Consuming Insecticides,Male,0-14,30,77047.1,0.00038937221517746935
Andhra Pradesh,2002,By Consuming Insecticides,Male,15-29,759,77047.1,0.009851117043989974
Andhra Pradesh,2002,By Consuming Insecticides,Male,30-44,900,77047.1,0.01168116645532408
Andhra Pradesh,2002,By Consuming Insecticides,Male,45-59,694,77047.1,0.00900747724443879
Andhra Pradesh,2002,By Consuming Insecticides,Male,60+,138,77047.1,0.001791112189816359
Andhra Pradesh,2003,By Consuming Insecticides,Male,0-14,52,77884.20000000001,0.0006676578818296906
Andhra Pradesh,2003,By Consuming Insecticides,Male,15-29,861,77884.20000000001,0.011054873774141608
Andhra Pradesh,2003,By Consuming Insecticides,Male,30-44,1164,77884.20000000001,0.014945264893264613
Andhra Pradesh,2003,By Consuming Insecticides,Male,45-59,634,77884.20000000001,0.008140290328461997
Andhra Pradesh,2003,By Consuming Insecticides,Male,60+,181,77884.20000000001,0.002323963011753346
Andhra Pradesh,2004,By Consuming Insecticides,Male,0-14,30,78721.30000000002,0.0003810912675476649
Andhra Pradesh,2004,By Consuming Insecticides,Male,15-29,946,78721.30000000002,0.012017077970003034
Andhra Pradesh,2004,By Consuming Insecticides,Male,30-44,1267,78721.30000000002,0.01609475453276305
Andhra Pradesh,2004,By Consuming Insecticides,Male,45-59,822,78721.30000000002,0.010441900730806019
Andhra Pradesh,2004,By Consuming Insecticides,Male,60+,297,78721.30000000002,0.0037728035487218825
Andhra Pradesh,2005,By Consuming Insecticides,Male,0-14,39,79558.40000000002,0.0004902059367709756
Andhra Pradesh,2005,By Consuming Insecticides,Male,15-29,1050,79558.40000000002,0.01319785214383396
Andhra Pradesh,2005,By Consuming Insecticides,Male,30-44,1356,79558.40000000002,0.017044083340037
Andhra Pradesh,2005,By Consuming Insecticides,Male,45-59,934,79558.40000000002,0.01173980371651516
Andhra Pradesh,2005,By Consuming Insecticides,Male,60+,334,79558.40000000002,0.004198173920038612
Andhra Pradesh,2006,By Consuming Insecticides,Male,0-14,36,80395.50000000003,0.0004477862566934715
Andhra Pradesh,2006,By Consuming Insecticides,Male,15-29,1077,80395.50000000003,0.013396272179413022
Andhra Pradesh,2006,By Consuming Insecticides,Male,30-44,1442,80395.50000000003,0.01793632728199961
