State/Uts,Cooperative Banks - Crop Loan - No. of A/c,Cooperative Banks - Crop Loan - Amt,Cooperative Banks - Term Loan - No. of A/c,Cooperative Banks - Term Loan - Amt,Cooperative Banks - Total Loans (Crop Loan+ Term Loan - No. of A/c,Cooperative Banks - Total Loans (Crop Loan+ Term Loan - Amt,Regional Rural Banks - Crop Loan - No. of A/c,Regional Rural Banks - Crop Loan - Amt,Regional Rural Banks - Term Loan - No. of A/c,Regional Rural Banks - Term Loan - Amt,Regional Rural Banks - Total Loans (Crop Loan+ Term Loan - No. of A/c,Regional Rural Banks - Total Loans (Crop Loan+ Term Loan - Amt,Total Agiculture - Crop Loan - No. of A/c,Total Agiculture - Crop Loan - Amt,Total Agiculture - Term Loan - No. of A/c,Total Agiculture - Term Loan - Amt,Total Agiculture - Total Loan (Crop Loan & Term Loan) - No. of A/c,Total Agiculture - Total Loan (Crop Loan & Term Loan) - Amt
DELHI,361,516.8,82,184.49,443,701.29,0,0,0,0,0,0,361,516.8,82,184.49,443,701.29
HARYANA,1350881,764477.67,218586,196786.86,1569467,961264.53,210728,404308,101521,82603,312249,486911,1561609,1168785.67,320107,279389.86,1881716,1448175.53
HIMACHAL PRADESH,83256,98870.88,26897,36220.81,110153,135091.69,37223,27507.43,26335,14761.06,63558,42268.49,120479,126378.31,53232,50981.87,173711,177360.18
JAMMU & KASHMIR,1173,1256.94,2573,4100.94,3746,5357.88,52097,47172.95,19876,10895.57,71973,58068.52,53270,48429.89,22449,14996.51,75719,63426.4
PUNJAB,1007403,850944.54,222224,317199.56,1229627,1168144.1,117199,308809.67,46598,90993.81,163797,399803.48,1124602,1159754.21,268822,408193.37,1393424,1567947.58
RAJASTHAN,1566732,1112653.35,166642,185072.22,1733374,1297725.57,540322,890205.74,154548,155411.74,694870,1045617.48,2107054,2002859.09,321190,340483.96,2428244,2343343.05
CHANDIGARH UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Region - Total,4009806,2828720.18,637004,739564.88,4646810,3568285.06,957569,1678003.79,348878,354665.18,1306447,2032668.97,4967375,4506723.97,985882,1094230.06,5953257,5600954.03
ARUNACHAL PRADESH,0,0,9,44.3,9,44.3,3333,1274.45,149,468.61,3482,1743.06,3333,1274.45,158,512.91,3491,1787.36
ASSAM,30374,3283.8,25639,3459.7,56013,6743.5,284027,87303.31,138669,84522.94,422696,171826.25,314401,90587.11,164308,87982.64,478709,178569.75
MANIPUR,0,0,0,0,0,0,6099,1596.7,4451,964.92,10550,2561.62,6099,1596.7,4451,964.92,10550,2561.62
MEGHALAYA,15216,2873.78,13621,9111.11,28837,11984.89,17820,7821.31,1722,1538.11,19542,9359.42,33036,10695.09,15343,10649.22,48379,21344.31
MIZORAM,905,8818.21,2230,2821.93,3135,11640.14,2464,852.19,18201,9819.67,20665,10671.86,3369,9670.4,20431,12641.6,23800,22312
NAGALAND,7962,1928.45,2748,3137.48,10710,5065.93,900,164.4,55,96.45,955,260.85,8862,2092.85,2803,3233.93,11665,5326.78
SIKKIM,7917,1369.59,594,443.15,8511,1812.74,0,0,0,0,0,0,7917,1369.59,594,443.15,8511,1812.74
TRIPURA,61678,4910.03,41611,46499.79,103289,51409.82,113842,13432.53,69677,22476.64,183519,35909.17,175520,18342.56,111288,68976.43,286808,87318.99
North Eastern Region - Total,124052,23183.86,86452,65517.46,210504,88701.32,428485,112444.89,232924,119887.34,661409,232332.23,552537,135628.75,319376,185404.8,871913,321033.55
A & N ISLAND,36970,5770.88,36911,31501.29,73881,37272.17,0,0,0,0,0,0,36970,5770.88,36911,31501.29,73881,37272.17
BIHAR,488908,72740,0,0,488908,72740,1627614,678642,472076,188068,2099690,866710,2116522,751382,472076,188068,2588598,939450
JHARKHAND,21886,3167,1865,810.01,23751,3977.01,329734,94314.47,43888,11301.15,373622,105615.62,351620,97481.47,45753,12111.16,397373,109592.63
ODISHA,2941350,802544.75,45100,29502.93,2986450,832047.68,574771,219223.02,161638,128481.87,736409,347704.89,3516121,1021767.77,206738,157984.8,3722859,1179752.57
WEST BENGAL,1429527,253642.6,270750,119941.27,1700277,373583.87,489366,192438,213040,113514.2,702406,305952.2,1918893,446080.6,483790,233455.47,2402683,679536.07
Eastern Region - Total,4918641,1137865.23,354626,181755.5,5273267,1319620.73,3021485,1184617.49,890642,441365.22,3912127,1625982.71,7940126,2322482.72,1245268,623120.72,9185394,2945603.44
CHHATTISGARH,1459101,437104.89,39471,22149.87,1498572,459254.76,286433,107678.98,54116,18600.68,340549,126279.66,1745534,544783.87,93587,40750.55,1839121,585534.42
MADHYA PRADESH,5211026,1369026.4,12074,17485.63,5223100,1386512.03,506048,2869730.26,99113,87945.97,605161,2957676.23,5717074,4238756.66,111187,105431.6,5828261,4344188.26
UTTARAKHAND,172665,81317.23,50748,16254.96,223413,97572.19,55218,29509.49,16240,15234.82,71458,44744.31,227883,110826.72,66988,31489.78,294871,142316.5
UTTAR PRADESH,3629012,720086.17,0,246599.83,3629012,966686,3067563,2200669.8,675446,454536.16,3743009,2655205.96,6696575,2920755.97,675446,701135.99,7372021,3621891.96
Central Region - Total,10471804,2607534.69,102293,302490.29,10574097,2910024.98,3915262,5207588.53,844915,576317.63,4760177,5783906.16,14387066,7815123.22,947208,878807.92,15334274,8693931.14
GOA,1138,1677.12,3900,4652.26,5038,6329.38,0,0,0,0,0,0,1138,1677.12,3900,4652.26,5038,6329.38
GUJARAT,1088393,938735,225472,306369,1313865,1245104,261007,285996.52,66593,38298.21,327600,324294.73,1349400,1224731.52,292065,344667.21,1641465,1569398.73
MAHARASHTRA,2232291,2272054.02,342684,483716.37,2574975,2755770.39,351518,234158.64,197817,181540.7,549335,415699.34,2583809,2506212.66,540501,665257.07,3124310,3171469.73
D & N HAVELI UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Region Total,3321822,3212466.14,572056,794737.63,3893878,4007203.77,612525,520155.16,264410,219838.91,876935,739994.07,3934347,3732621.3,836466,1014576.54,4770813,4747197.84
ANDHRA PRADESH,1072469,536234.57,37686,94214.03,1110155,630448.6,1174770,752576.79,357475,449901.56,1532245,1202478.35,2247239,1288811.36,395161,544115.59,2642400,1832926.95
TELANGANA,980315,245327.73,122314,98123.4,1102629,343451.13,879004,448648.06,110475,162854.42,989479,611502.48,1859319,693975.79,232789,260977.82,2092108,954953.61
KARNATAKA,2241096,951788.91,85557,257550.83,2326653,1209339.74,935164,871699.64,587553,647951.5,1522717,1519651.14,3176260,1823488.55,673110,905502.33,3849370,2728990.88
KERALA,1015838,370430,233379,98074.9,1249217,468504.9,1073472,630966,23731,11772,1097203,642738,2089310,1001396,257110,109846.9,2346420,1111242.9
PUDUCHERRY,5849,1442.06,646,46.65,6495,1488.71,50845,32422.2,1283,995.9,52128,33418.1,56694,33864.26,1929,1042.55,58623,34906.81
TAMILNADU,1109706,552125.68,186805,60638.09,1296511,612763.77,681830,384690.77,125354,97103.59,807184,481794.36,1791536,936816.45,312159,157741.68,2103695,1094558.13
LAKSHADWEEP UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
