State,Year,Rural Population 
Andhra Pradesh,2001,55401.0
Assam,2001,23216.0
Gujarat,2001,31741.0
Haryana,2001,15029.0
Karnataka,2001,34889.0
Kerala,2001,23574.0
Madhya Pradesh,2001,44381.0
Maharashtra,2001,55778.0
Rajasthan,2001,43293.0
Tamil Nadu,2001,34922.0
Uttar Pradesh,2001,131658.0
West Bengal,2001,57749.0
Andhra Pradesh,2002,55497.1
Assam,2002,23575.1
Gujarat,2002,32036.4
Haryana,2002,15177.0
Karnataka,2002,35147.0
Kerala,2002,22963.7
Madhya Pradesh,2002,45198.6
Maharashtra,2002,56355.8
Rajasthan,2002,44113.7
Tamil Nadu,2002,35152.8
Uttar Pradesh,2002,134023.9
West Bengal,2002,58192.4
Andhra Pradesh,2003,55593.2
Assam,2003,23934.199999999997
Gujarat,2003,32331.800000000003
Haryana,2003,15325.0
Karnataka,2003,35405.0
Kerala,2003,22353.4
Madhya Pradesh,2003,46016.2
Maharashtra,2003,56933.600000000006
Rajasthan,2003,44934.399999999994
Tamil Nadu,2003,35383.600000000006
Uttar Pradesh,2003,136389.8
West Bengal,2003,58635.8
Andhra Pradesh,2004,55689.299999999996
Assam,2004,24293.299999999996
Gujarat,2004,32627.200000000004
Haryana,2004,15473.0
Karnataka,2004,35663.0
Kerala,2004,21743.100000000002
Madhya Pradesh,2004,46833.799999999996
Maharashtra,2004,57511.40000000001
Rajasthan,2004,45755.09999999999
Tamil Nadu,2004,35614.40000000001
Uttar Pradesh,2004,138755.69999999998
West Bengal,2004,59079.200000000004
Andhra Pradesh,2005,55785.399999999994
Assam,2005,24652.399999999994
Gujarat,2005,32922.600000000006
Haryana,2005,15621.0
Karnataka,2005,35921.0
Kerala,2005,21132.800000000003
Madhya Pradesh,2005,47651.399999999994
Maharashtra,2005,58089.20000000001
Rajasthan,2005,46575.79999999999
Tamil Nadu,2005,35845.20000000001
Uttar Pradesh,2005,141121.59999999998
West Bengal,2005,59522.600000000006
Andhra Pradesh,2006,55881.49999999999
Assam,2006,25011.499999999993
Gujarat,2006,33218.00000000001
Haryana,2006,15769.0
Karnataka,2006,36179.0
Kerala,2006,20522.500000000004
Madhya Pradesh,2006,48468.99999999999
Maharashtra,2006,58667.000000000015
Rajasthan,2006,47396.499999999985
Tamil Nadu,2006,36076.000000000015
Uttar Pradesh,2006,143487.49999999997
West Bengal,2006,59966.00000000001
Andhra Pradesh,2007,55977.59999999999
Assam,2007,25370.59999999999
Gujarat,2007,33513.40000000001
Haryana,2007,15917.0
Karnataka,2007,36437.0
Kerala,2007,19912.200000000004
Madhya Pradesh,2007,49286.59999999999
Maharashtra,2007,59244.80000000002
Rajasthan,2007,48217.19999999998
Tamil Nadu,2007,36306.80000000002
Uttar Pradesh,2007,145853.39999999997
West Bengal,2007,60409.40000000001
Andhra Pradesh,2008,56073.69999999999
Assam,2008,25729.69999999999
Gujarat,2008,33808.80000000001
Haryana,2008,16065.0
Karnataka,2008,36695.0
Kerala,2008,19301.900000000005
Madhya Pradesh,2008,50104.19999999999
Maharashtra,2008,59822.60000000002
Rajasthan,2008,49037.89999999998
Tamil Nadu,2008,36537.60000000002
Uttar Pradesh,2008,148219.29999999996
West Bengal,2008,60852.80000000001
Andhra Pradesh,2009,56169.79999999999
Assam,2009,26088.79999999999
Gujarat,2009,34104.20000000001
Haryana,2009,16213.0
Karnataka,2009,36953.0
Kerala,2009,18691.600000000006
Madhya Pradesh,2009,50921.79999999999
Maharashtra,2009,60400.40000000002
Rajasthan,2009,49858.59999999998
Tamil Nadu,2009,36768.40000000002
Uttar Pradesh,2009,150585.19999999995
West Bengal,2009,61296.20000000001
Andhra Pradesh,2010,56265.89999999999
Assam,2010,26447.899999999987
Gujarat,2010,34399.60000000001
Haryana,2010,16361.0
Karnataka,2010,37211.0
Kerala,2010,18081.300000000007
Madhya Pradesh,2010,51739.39999999999
Maharashtra,2010,60978.200000000026
Rajasthan,2010,50679.299999999974
Tamil Nadu,2010,36999.200000000026
Uttar Pradesh,2010,152951.09999999995
West Bengal,2010,61739.60000000001
Andhra Pradesh,2011,56361.999999999985
Assam,2011,26806.999999999985
Gujarat,2011,34695.000000000015
Haryana,2011,16509.0
Karnataka,2011,37469.0
Kerala,2011,17471.000000000007
Madhya Pradesh,2011,52556.999999999985
Maharashtra,2011,61556.00000000003
Rajasthan,2011,51499.99999999997
Tamil Nadu,2011,37230.00000000003
Uttar Pradesh,2011,155316.99999999994
West Bengal,2011,62183.000000000015
Andhra Pradesh,2012,56458.099999999984
Assam,2012,27166.099999999984
Gujarat,2012,34990.400000000016
Haryana,2012,16657.0
Karnataka,2012,37727.0
Kerala,2012,16860.700000000008
Madhya Pradesh,2012,53374.599999999984
Maharashtra,2012,62133.80000000003
Rajasthan,2012,52320.69999999997
Tamil Nadu,2012,37460.80000000003
Uttar Pradesh,2012,157682.89999999994
West Bengal,2012,62626.400000000016
